Date,Close/Last,Volume,Open,High,Low
07/11/2025,$157.46,5907658,$159.00,$159.17,$157.15
07/10/2025,$159.09,5675549,$158.99,$160.29,$157.79
07/09/2025,$159.35,4190120,$159.40,$161.4838,$158.25
07/08/2025,$159.45,6879080,$159.47,$161.83,$158.61
07/07/2025,$158.09,7187449,$161.11,$161.49,$157.57
07/03/2025,$162.21,4280773,$163.045,$163.9573,$162.09
07/02/2025,$162.32,8916394,$159.68,$162.79,$158.80
07/01/2025,$159.40,8942314,$158.22,$161.65,$157.98
06/30/2025,$159.26,7988244,$158.39,$159.86,$157.80
06/27/2025,$158.54,22100340,$158.65,$161.10,$157.57
06/26/2025,$158.19,6278199,$156.50,$158.42,$155.91
06/25/2025,$155.93,5280104,$156.10,$156.5317,$154.59
06/24/2025,$155.71,7692670,$154.73,$156.30,$154.15
06/23/2025,$153.14,6860687,$151.23,$153.52,$149.683
06/20/2025,$151.32,15501850,$154.23,$155.12,$150.63
06/18/2025,$153.63,6708683,$155.00,$156.0994,$153.15
06/17/2025,$154.46,7146944,$156.65,$157.58,$154.39
06/16/2025,$156.87,8686257,$157.03,$158.45,$155.64
06/13/2025,$154.72,8446444,$156.34,$157.17,$154.44
06/12/2025,$158.70,5689351,$159.00,$159.61,$157.95
06/11/2025,$159.48,8859937,$160.00,$162.14,$157.70
06/10/2025,$159.13,9068443,$156.19,$159.51,$155.07
06/09/2025,$155.41,10589380,$151.81,$156.12,$151.1685
06/06/2025,$149.24,5794700,$149.80,$150.59,$149.05
06/05/2025,$147.56,5613181,$148.80,$150.08,$147.00
06/04/2025,$149.05,7143844,$150.00,$150.05,$147.3826
06/03/2025,$148.94,6164120,$146.71,$149.78,$145.515
06/02/2025,$146.63,6419509,$144.80,$147.205,$144.48
05/30/2025,$145.20,13755570,$148.00,$148.02,$143.48
05/29/2025,$148.34,5984793,$149.86,$150.4999,$147.24
05/28/2025,$147.60,7032262,$148.82,$149.49,$147.36
05/27/2025,$148.63,9788753,$147.55,$149.35,$146.43
05/23/2025,$145.38,8994607,$143.42,$146.485,$141.77
05/22/2025,$147.37,9539061,$151.39,$151.58,$147.22
05/21/2025,$151.31,9684483,$153.58,$156.13,$150.8308
05/20/2025,$153.82,5269482,$153.035,$153.89,$151.925
05/19/2025,$153.70,7241083,$150.55,$153.82,$150.11
05/16/2025,$152.50,6667966,$152.87,$153.055,$151.30
05/15/2025,$152.61,6941187,$151.71,$153.39,$150.18
05/14/2025,$152.98,6971196,$151.925,$153.27,$150.43
05/13/2025,$151.34,10160950,$152.005,$153.29,$150.96
05/12/2025,$152.12,11414650,$154.08,$154.36,$149.83
05/09/2025,$145.18,6217069,$145.66,$146.983,$144.60
05/08/2025,$145.10,8489076,$145.64,$147.50,$143.89
05/07/2025,$144.30,10202540,$140.38,$144.70,$140.245
05/06/2025,$139.90,6957862,$137.82,$140.80,$137.46
05/05/2025,$139.44,7165260,$138.30,$140.77,$138.29
05/02/2025,$139.81,13185570,$137.85,$141.41,$137.29
05/01/2025,$135.21,22836550,$138.785,$138.96,$134.87
04/30/2025,$148.46,10851870,$145.195,$148.85,$143.88
04/29/2025,$146.88,6691951,$146.66,$148.26,$145.52
04/28/2025,$147.62,5743480,$148.18,$149.30,$145.4398
04/25/2025,$148.56,5145633,$146.08,$149.20,$146.08
04/24/2025,$147.21,8810602,$142.78,$147.82,$141.99
04/23/2025,$140.46,9073488,$142.58,$143.88,$139.78
04/22/2025,$138.74,8227962,$136.745,$139.10,$136.49
04/21/2025,$136.14,8128290,$134.73,$136.55,$133.36
04/17/2025,$136.66,7135854,$137.38,$138.15,$135.71
04/16/2025,$135.74,10417220,$133.68,$137.31,$131.79
04/15/2025,$138.60,6346797,$139.46,$140.835,$138.03
04/14/2025,$139.19,6930331,$142.75,$143.11,$136.83
04/11/2025,$139.25,10955260,$134.00,$140.65,$131.11
04/10/2025,$134.40,14898760,$137.01,$139.0599,$129.29
04/09/2025,$143.59,21242590,$125.155,$144.86,$124.19
04/08/2025,$124.66,14965910,$131.13,$135.29,$121.74
04/07/2025,$129.72,17938330,$124.59,$137.20,$120.8019
04/04/2025,$127.46,19018560,$134.34,$135.86,$126.68
04/03/2025,$139.42,16464970,$147.00,$147.40,$138.56
04/02/2025,$154.08,5377181,$150.79,$155.46,$150.37
04/01/2025,$153.05,5708940,$152.39,$153.32,$150.265
03/31/2025,$153.61,8613591,$150.805,$153.85,$147.88
03/28/2025,$152.72,8917986,$156.92,$157.64,$151.56
03/27/2025,$157.97,6101990,$158.21,$159.25,$155.75
03/26/2025,$158.39,5965132,$159.45,$160.81,$156.85
03/25/2025,$160.15,3978200,$159.88,$161.47,$159.42
03/24/2025,$160.08,6033350,$160.00,$161.00,$158.80
03/21/2025,$156.82,10949250,$154.98,$157.416,$153.56
03/20/2025,$157.95,5089255,$158.00,$159.12,$156.52
03/19/2025,$158.26,5870969,$156.43,$160.515,$155.06
03/18/2025,$156.29,6898367,$157.95,$159.73,$155.9233
03/17/2025,$157.95,5781412,$155.60,$158.72,$155.44
03/14/2025,$156.58,5309435,$153.56,$156.95,$153.54
03/13/2025,$151.94,5861709,$152.595,$155.63,$150.42
03/12/2025,$152.80,7117435,$154.21,$155.86,$151.92
03/11/2025,$153.10,8692939,$154.85,$156.2275,$150.86
03/10/2025,$154.98,10139920,$157.35,$159.255,$152.61
03/07/2025,$161.22,8727617,$155.22,$161.82,$155.22
03/06/2025,$156.04,7808129,$154.11,$157.88,$154.09
03/05/2025,$158.49,6786851,$155.04,$159.15,$153.03
03/04/2025,$154.46,8956839,$155.27,$157.20,$151.35
03/03/2025,$153.62,9601853,$158.99,$160.08,$152.52
02/28/2025,$157.17,10149470,$155.10,$157.31,$153.40
02/27/2025,$154.44,10807190,$162.34,$163.25,$154.10
02/26/2025,$162.10,9161867,$161.83,$164.14,$160.93
02/25/2025,$161.22,8244945,$161.66,$163.33,$159.44
02/24/2025,$161.10,9827839,$165.91,$166.59,$160.99
02/21/2025,$165.43,12531870,$174.98,$175.43,$165.21
02/20/2025,$173.70,6316412,$176.00,$176.39,$172.90
02/19/2025,$175.22,6849614,$173.985,$176.50,$173.35
02/18/2025,$173.64,7292649,$173.26,$173.72,$171.2359
02/14/2025,$172.23,4691344,$172.60,$172.82,$171.04
02/13/2025,$172.15,6362183,$170.19,$172.36,$169.47
02/12/2025,$170.29,5505696,$169.55,$170.93,$168.24
02/11/2025,$171.99,6588067,$169.65,$172.70,$169.11
02/10/2025,$171.36,6237693,$169.73,$171.80,$169.00
02/07/2025,$167.96,7841658,$169.83,$171.30,$166.06
02/06/2025,$169.32,16293500,$167.84,$169.49,$165.40
02/05/2025,$175.86,15420590,$173.00,$177.00,$169.9027
02/04/2025,$173.04,5457922,$168.50,$173.79,$168.50
02/03/2025,$170.24,7447086,$168.88,$172.58,$168.06
01/31/2025,$172.93,7808977,$172.51,$176.79,$172.29
01/30/2025,$171.93,6010556,$172.34,$173.54,$170.97
01/29/2025,$171.71,5118924,$171.55,$173.49,$170.22
01/28/2025,$171.55,8720168,$170.22,$173.49,$169.81
01/27/2025,$171.18,15632610,$172.10,$172.20,$167.28
01/24/2025,$172.11,5825772,$175.10,$175.20,$171.9422
01/23/2025,$174.36,7172321,$170.38,$174.38,$169.38
01/22/2025,$170.24,7281689,$168.32,$172.0899,$168.19
01/21/2025,$167.27,7380518,$166.00,$168.68,$165.35
01/17/2025,$164.56,8097475,$165.38,$165.61,$163.10
01/16/2025,$161.43,7188856,$165.35,$165.84,$161.28
01/15/2025,$164.41,9284034,$162.10,$165.45,$162.09
01/14/2025,$159.53,6476497,$160.14,$161.01,$156.559
01/13/2025,$157.13,5714689,$155.22,$157.37,$154.80
01/10/2025,$156.98,6236809,$157.70,$158.28,$155.55
01/08/2025,$159.08,7731918,$160.05,$160.19,$156.94
01/07/2025,$160.52,7666013,$162.00,$163.45,$159.25
01/06/2025,$159.85,9599764,$159.33,$165.67,$159.33
01/03/2025,$157.83,5887151,$155.42,$158.435,$154.49
01/02/2025,$153.64,5009075,$155.01,$157.51,$152.79
12/31/2024,$153.62,4423330,$154.72,$155.84,$153.21
12/30/2024,$154.58,5355964,$155.23,$156.13,$153.80
12/27/2024,$157.24,7232473,$157.19,$157.75,$155.52
12/26/2024,$158.53,3847905,$157.40,$159.5599,$157.35
12/24/2024,$159.36,2839592,$158.64,$159.40,$157.54
12/23/2024,$158.24,8863199,$155.66,$158.69,$154.55
12/20/2024,$152.89,17347070,$149.58,$154.57,$149.43
12/19/2024,$150.40,8414797,$154.03,$155.47,$150.06
12/18/2024,$153.05,10295190,$158.25,$161.16,$152.325
12/17/2024,$157.92,7187382,$156.49,$159.98,$156.49
12/16/2024,$157.89,9951138,$158.16,$158.71,$154.02
12/13/2024,$158.53,8886682,$158.24,$159.6805,$156.62
12/12/2024,$158.24,5796116,$158.67,$159.46,$156.9214
12/11/2024,$159.83,7081804,$157.29,$160.46,$156.97
12/10/2024,$156.46,8683634,$160.77,$161.49,$156.04
12/09/2024,$160.74,9481232,$157.48,$162.93,$157.47
12/06/2024,$159.51,9918412,$160.39,$160.39,$157.24
12/05/2024,$160.39,7279786,$162.59,$164.45,$159.93
12/04/2024,$163.34,6721577,$164.475,$165.00,$162.24
12/03/2024,$162.58,6961372,$161.50,$163.86,$161.32
12/02/2024,$163.03,9812677,$158.38,$163.37,$158.38
11/29/2024,$158.53,6112016,$158.11,$161.52,$157.75
11/27/2024,$156.40,6337854,$156.93,$157.65,$154.46
11/26/2024,$156.93,9489853,$159.75,$161.47,$156.09
11/25/2024,$158.82,9189843,$158.94,$159.65,$157.2189
11/22/2024,$156.79,5709268,$154.79,$156.88,$153.73
11/21/2024,$155.46,10685790,$155.16,$156.94,$153.59
11/20/2024,$154.27,14483040,$164.00,$164.20,$152.9505
11/19/2024,$164.71,6176848,$164.03,$166.23,$162.65
11/18/2024,$164.50,7816812,$162.60,$165.14,$162.00
11/15/2024,$160.50,9737033,$163.00,$164.325,$159.60
11/14/2024,$163.97,7012644,$162.95,$164.91,$161.87
11/13/2024,$160.42,7921747,$162.79,$162.94,$159.75
11/12/2024,$163.41,8483331,$167.05,$167.33,$161.8601
11/11/2024,$168.29,7829485,$170.00,$170.79,$166.09
11/08/2024,$170.91,10736650,$172.09,$173.49,$168.7546
11/07/2024,$172.91,23586320,$180.265,$182.10,$171.63
11/06/2024,$172.99,17661920,$169.25,$178.45,$168.67
11/05/2024,$165.91,5373163,$165.00,$167.59,$164.245
11/04/2024,$165.18,4949802,$165.06,$167.50,$163.635
11/01/2024,$165.27,6498125,$163.08,$166.0847,$162.77
10/31/2024,$162.77,10261240,$167.62,$167.78,$162.08
10/30/2024,$167.62,8819735,$169.92,$171.735,$167.53
10/29/2024,$176.00,6427746,$172.195,$176.57,$171.26
10/28/2024,$172.22,5024581,$169.42,$173.15,$169.37
