GDP date,GDP
1/1/2020,21727.657
4/1/2020,19935.444
7/1/2020,21684.551
10/1/2020,22068.767
1/1/2021,22656.793
4/1/2021,23368.861
7/1/2021,23921.991
10/1/2021,24777.038
1/1/2022,25215.491
4/1/2022,25805.791
7/1/2022,26272.011
10/1/2022,26734.277
1/1/2023,27164.359
4/1/2023,27453.815
7/1/2023,27967.697
10/1/2023,28296.967
1/1/2024,28624.069
4/1/2024,29016.714
7/1/2024,29374.914
10/1/2024,29723.864
1/1/2025,29962.047
